,Concept 1,Concept 2,Count
395,Climate Related Hazards – Environmental Degradatation,Greenhouse Gases – Emissions,3043
396,Climate Related Hazards – Environmental Degradatation,Sectors – Energy,1344
397,Fossil Fuels – Oil,Sectors – Water Services,413
398,Sectors – Water Services,Vulnerable Groups – Local And Rural Communities,277
399,Sectors – Water Services,Technologies (Adaptation) – Water Management And Conservation Technologies,1403
400,Good Practice And Opportunities – Opportunity,Sectors – Water Services,1705
401,Fossil Fuels – Oil,Policy Instruments – Regulatory Instruments,9094
402,Policy Instruments – Regulatory Instruments,Vulnerable Groups – Local And Rural Communities,285
403,Policy Instruments – Regulatory Instruments,Technologies (Adaptation) – Water Management And Conservation Technologies,766
404,Good Practice And Opportunities – Opportunity,Policy Instruments – Regulatory Instruments,2967
405,Fossil Fuels – Oil,Renewables – Hydropower,922
406,Fossil Fuels – Oil,Vulnerable Groups – Local And Rural Communities,112
407,Fossil Fuels – Oil,Technologies (Adaptation) – Water Management And Conservation Technologies,53
408,Fossil Fuels – Oil,Good Practice And Opportunities – Opportunity,629
409,Fossil Fuels – Oil,Greenhouse Gases – Emissions,20849
410,Fossil Fuels – Oil,Sectors – Energy,20121
411,Renewables – Hydropower,Vulnerable Groups – Local And Rural Communities,28
412,Renewables – Hydropower,Technologies (Adaptation) – Water Management And Conservation Technologies,44
413,Good Practice And Opportunities – Opportunity,Renewables – Hydropower,214
414,Greenhouse Gases – Emissions,Renewables – Hydropower,1516
415,Technologies (Adaptation) – Water Management And Conservation Technologies,Vulnerable Groups – Local And Rural Communities,14
416,Good Practice And Opportunities – Opportunity,Vulnerable Groups – Local And Rural Communities,361
417,Greenhouse Gases – Emissions,Vulnerable Groups – Local And Rural Communities,268
418,Sectors – Energy,Vulnerable Groups – Local And Rural Communities,326
419,Good Practice And Opportunities – Opportunity,Technologies (Adaptation) – Water Management And Conservation Technologies,66
420,Greenhouse Gases – Emissions,Technologies (Adaptation) – Water Management And Conservation Technologies,595
421,Sectors – Energy,Technologies (Adaptation) – Water Management And Conservation Technologies,177
422,Good Practice And Opportunities – Opportunity,Sectors – Energy,4604
423,Mitigation – Mitigation,Technologies (Mitigation) – Energy And Power Technologies,1983
424,Greenhouse Gases – Emissions,Technologies (Mitigation) – Buildings And Homes Technologies,774
425,Policy Instruments – Information And Education,Technologies (Mitigation) – Buildings And Homes Technologies,402
426,Policy Instruments – Regulatory Instruments,Technologies (Mitigation) – Buildings And Homes Technologies,1526
427,Deforestation – Deforestation,Sectors – Energy,668
428,Deforestation – Deforestation,Technologies (Mitigation) – Energy And Power Technologies,135
429,Deforestation – Deforestation,Technologies (Mitigation) – Buildings And Homes Technologies,39
430,Sectors – Energy,Technologies (Mitigation) – Buildings And Homes Technologies,2176
431,Financial Flows – Financial Flow,Technologies (Mitigation) – Buildings And Homes Technologies,1406
432,Mitigation – Mitigation,Technologies (Mitigation) – Buildings And Homes Technologies,358
433,Technologies (Mitigation) – Buildings And Homes Technologies,Technologies (Mitigation) – Energy And Power Technologies,1284
434,Greenhouse Gases – Carbon Dioxide,Policy Instruments – Regulatory Instruments,3268
435,Greenhouse Gases – Carbon Dioxide,Sectors – Water Services,886
436,Renewables – Bioenergy,Sectors – Water Services,1838
437,Greenhouse Gases – Carbon Dioxide,Mitigation – Mitigation,1493
438,Greenhouse Gases – Carbon Dioxide,Renewables – Bioenergy,2215
439,Mitigation – Mitigation,Sectors – Insurance & Financial Services,8377
440,Mitigation – Mitigation,Policy Instruments – Economic Instruments,10878
441,Good Practice And Opportunities – Good Practice,Sectors – Energy,655
442,Good Practice And Opportunities – Good Practice,Policy Instruments – Regulatory Instruments,554
443,Capacity Building – Capacity-Building,Mitigation – Mitigation,3438
444,Capacity Building – Capacity-Building,Greenhouse Gases – Emissions,2136
445,Capacity Building – Capacity-Building,Policy Instruments – Economic Instruments,3789
446,Barriers And Challenges – Challenges,Financial Flows – Financial Flow,10958
447,Barriers And Challenges – Challenges,Sectors – Insurance & Financial Services,4788
448,Barriers And Challenges – Challenges,Policy Instruments – Economic Instruments,5528
449,Adaptation – Adaptation,Sectors – Insurance & Financial Services,12807
450,Capacity Building – Capacity-Building,Sectors – Insurance & Financial Services,4807
451,Adaptation – Adaptation,Capacity Building – Capacity-Building,4007
452,Adaptation – Adaptation,Barriers And Challenges – Challenges,7888
453,Barriers And Challenges – Challenges,Capacity Building – Capacity-Building,2032
454,Financial Flows – Financial Flow,Technologies (Adaptation) – Hazard Management Technologies,1697
455,Policy Instruments – Economic Instruments,Technologies (Adaptation) – Hazard Management Technologies,573
456,Sectors – Insurance & Financial Services,Technologies (Adaptation) – Hazard Management Technologies,471
457,Adaptation – Adaptation,Technologies (Adaptation) – Hazard Management Technologies,3384
458,Mitigation – Mitigation,Technologies (Adaptation) – Hazard Management Technologies,554
459,Greenhouse Gases – Greenhouse Gases,Technologies (Adaptation) – Hazard Management Technologies,784
460,Sectors – Energy,Technologies (Adaptation) – Hazard Management Technologies,322
461,Financial Flows – Financial Flow,Greenhouse Gases – Greenhouse Gases,25017
462,Capacity Building – Capacity-Building,Financial Flows – Financial Flow,6716
463,Financial Flows – Financial Flow,Good Practice And Opportunities – Success,1883
464,Adaptation – Adaptation,Barriers And Challenges – Barriers,3542
465,Adaptation – Adaptation,Technologies (Mitigation) – Energy And Power Technologies,1055
466,Adaptation – Adaptation,Good Practice And Opportunities – Success,1384
467,Adaptation – Adaptation,Policy Instruments – Regulatory Instruments,6493
468,Barriers And Challenges – Barriers,Mitigation – Mitigation,2520
469,Good Practice And Opportunities – Success,Mitigation – Mitigation,595
470,Barriers And Challenges – Barriers,Barriers And Challenges – Challenges,2662
471,Barriers And Challenges – Challenges,Technologies (Mitigation) – Energy And Power Technologies,887
472,Barriers And Challenges – Challenges,Good Practice And Opportunities – Success,579
473,Barriers And Challenges – Challenges,Policy Instruments – Regulatory Instruments,2907
474,Good Practice And Opportunities – Success,Policy Instruments – Economic Instruments,811
475,Barriers And Challenges – Barriers,Good Practice And Opportunities – Success,272
476,Barriers And Challenges – Barriers,Sectors – Insurance & Financial Services,2113
477,Barriers And Challenges – Barriers,Greenhouse Gases – Greenhouse Gases,2921
478,Barriers And Challenges – Barriers,Greenhouse Gases – Emissions,4955
479,Barriers And Challenges – Barriers,Capacity Building – Capacity-Building,500
480,Good Practice And Opportunities – Success,Technologies (Mitigation) – Energy And Power Technologies,180
481,Technologies (Mitigation) – Energy And Power Technologies,Technologies (Mitigation) – Energy And Power Technologies,4968
482,Greenhouse Gases – Greenhouse Gases,Technologies (Mitigation) – Energy And Power Technologies,3667
483,Capacity Building – Capacity-Building,Technologies (Mitigation) – Energy And Power Technologies,247
484,Good Practice And Opportunities – Success,Sectors – Energy,664
485,Capacity Building – Capacity-Building,Sectors – Energy,1259
486,Good Practice And Opportunities – Success,Sectors – Insurance & Financial Services,598
487,Good Practice And Opportunities – Success,Greenhouse Gases – Greenhouse Gases,562
488,Good Practice And Opportunities – Success,Greenhouse Gases – Emissions,960
489,Good Practice And Opportunities – Success,Policy Instruments – Regulatory Instruments,462
490,Capacity Building – Capacity-Building,Good Practice And Opportunities – Success,178
491,Capacity Building – Capacity-Building,Greenhouse Gases – Greenhouse Gases,2511
492,Capacity Building – Capacity-Building,Policy Instruments – Regulatory Instruments,513
493,Capacity Building – Capacity-Building,Capacity Building – Capacity-Building,2816
494,Adaptation – Adaptation,Deforestation – Deforestation,688
495,Capacity Building – Capacity-Building,Deforestation – Forests,905
496,Capacity Building – Capacity-Building,Deforestation – Deforestation,115
497,Capacity Building – Capacity-Building,"Sectors – Agriculture, Forestry And Other Land Use",1240
498,Sectors – Transport,Technologies (Mitigation) – Energy And Power Technologies,2601
499,Policy Instruments – Regulatory Instruments,Sectors – Transport,13818
500,Capacity Building – Capacity-Building,Policy Instruments – Information And Education,5069
501,Sectors – Industry,Technologies (Adaptation) – Hazard Management Technologies,168
502,"Sectors – Agriculture, Forestry And Other Land Use",Technologies (Adaptation) – Hazard Management Technologies,2968
503,Greenhouse Gases – Emissions,Technologies (Adaptation) – Hazard Management Technologies,1138
504,Adaptation – Adaptation,Adaptation – Adaptation,37335
505,Capacity Building – Capacity-Building,Technologies (Adaptation) – Hazard Management Technologies,277
506,Barriers And Challenges – Challenges,Greenhouse Gases – Sulphur Hexafluoride,119
507,Barriers And Challenges – Challenges,Greenhouse Gases – Methane,343
508,Barriers And Challenges – Challenges,Greenhouse Gases – Hydrofluorocarbons,171
509,Barriers And Challenges – Challenges,Technologies (Mitigation) – Waste And Recycling Technologies,204
510,Barriers And Challenges – Challenges,Greenhouse Gases – Perfluorocarbons,95
511,Greenhouse Gases – Sulphur Hexafluoride,Policy Instruments – Governance,249
512,Greenhouse Gases – Methane,Policy Instruments – Governance,915
513,Greenhouse Gases – Hydrofluorocarbons,Policy Instruments – Governance,439
514,Policy Instruments – Governance,Technologies (Mitigation) – Waste And Recycling Technologies,359
515,Greenhouse Gases – Perfluorocarbons,Policy Instruments – Governance,281
516,Sectors – Industry,Technologies (Mitigation) – Waste And Recycling Technologies,2079
517,Greenhouse Gases – Methane,Greenhouse Gases – Sulphur Hexafluoride,1774
518,Greenhouse Gases – Sulphur Hexafluoride,Technologies (Mitigation) – Waste And Recycling Technologies,22
519,Greenhouse Gases – Hydrofluorocarbons,Greenhouse Gases – Methane,2403
520,Greenhouse Gases – Methane,Technologies (Mitigation) – Waste And Recycling Technologies,767
521,Greenhouse Gases – Methane,Greenhouse Gases – Perfluorocarbons,1668
522,Greenhouse Gases – Hydrofluorocarbons,Technologies (Mitigation) – Waste And Recycling Technologies,77
523,Greenhouse Gases – Perfluorocarbons,Technologies (Mitigation) – Waste And Recycling Technologies,40
524,Renewables – Renewable Energy (General),Sectors – Water Services,1085
525,Deforestation – Deforestation,Sectors – Water Services,421
526,Policy Instruments – Governance,Renewables – Hydropower,168
527,Policy Instruments – Governance,Renewables – Renewable Energy (General),1943
528,Greenhouse Gases – Greenhouse Gases,Renewables – Hydropower,1313
529,Greenhouse Gases – Greenhouse Gases,Renewables – Renewable Energy (General),7537
530,Deforestation – Deforestation,Greenhouse Gases – Greenhouse Gases,2415
531,Deforestation – Deforestation,Renewables – Hydropower,60
532,Deforestation – Deforestation,Renewables – Renewable Energy (General),255
533,Good Practice And Opportunities – Good Practice,Greenhouse Gases – Hydrofluorocarbons,59
534,Adaptation – Adaptation,Policy Instruments – Information And Education,13273
535,Greenhouse Gases – Carbon Dioxide,Greenhouse Gases – Methane,7507
